Date,underlying_price,maturity,call_price,strike,put_price,moneyness_level
2019-06-03,2743.8,4.0,0.0,2635.0,2.89,0.9603469640644361
2019-06-03,2743.8,4.0,0.0,2640.0,1.94,0.9621692543188278
2019-06-03,2743.8,4.0,0.0,2645.0,2.5,0.9639915445732196
2019-06-03,2743.8,4.0,104.11,2650.0,2.45,0.9658138348276113
2019-06-03,2743.8,4.0,0.0,2655.0,2.86,0.967636125082003
2019-06-03,2743.8,4.0,99.0,2660.0,3.29,0.9694584153363948
2019-06-03,2743.8,4.0,0.0,2665.0,3.73,0.9712807055907864
2019-06-03,2743.8,4.0,88.8,2670.0,4.38,0.9731029958451781
2019-06-03,2743.8,4.0,76.5,2675.0,7.5,0.9749252860995699
2019-06-03,2743.8,4.0,80.05,2680.0,5.52,0.9767475763539616
2019-06-03,2743.8,4.0,75.85,2685.0,6.2,0.9785698666083533
2019-06-03,2743.8,4.0,60.05,2690.0,7.0,0.9803921568627451
2019-06-03,2743.8,4.0,52.0,2695.0,7.95,0.9822144471171368
2019-06-03,2743.8,4.0,46.6,2700.0,11.5,0.9840367373715285
2019-06-03,2743.8,4.0,41.0,2705.0,13.35,0.9858590276259201
2019-06-03,2743.8,4.0,46.6,2710.0,14.8,0.9876813178803119
2019-06-03,2743.8,4.0,43.0,2715.0,18.0,0.9895036081347036
2019-06-03,2743.8,4.0,39.05,2720.0,17.0,0.9913258983890954
2019-06-03,2743.8,4.0,30.1,2725.0,19.6,0.9931481886434871
2019-06-03,2743.8,4.0,28.38,2730.0,20.05,0.9949704788978788
2019-06-03,2743.8,4.0,24.15,2735.0,23.75,0.9967927691522706
2019-06-03,2743.8,4.0,27.0,2740.0,26.45,0.9986150594066622
2019-06-03,2743.8,4.0,17.7,2745.0,29.0,1.000437349661054
2019-06-03,2743.8,4.0,21.2,2750.0,30.2,1.0022596399154458
2019-06-03,2743.8,4.0,14.0,2755.0,29.2,1.0040819301698374
2019-06-03,2743.8,4.0,16.37,2760.0,36.5,1.005904220424229
2019-06-03,2743.8,4.0,10.4,2765.0,41.4,1.0077265106786208
2019-06-03,2743.8,4.0,12.2,2770.0,44.32,1.0095488009330125
2019-06-03,2743.8,4.0,10.27,2775.0,48.28,1.0113710911874043
2019-06-03,2743.8,4.0,7.8,2780.0,44.1,1.013193381441796
2019-06-03,2743.8,4.0,7.37,2785.0,57.2,1.0150156716961878
2019-06-03,2743.8,4.0,6.2,2790.0,60.03,1.0168379619505794
2019-06-03,2743.8,4.0,4.4,2795.0,62.13,1.0186602522049713
2019-06-03,2743.8,4.0,4.3,2800.0,65.4,1.0204825424593629
2019-06-03,2743.8,4.0,2.47,2805.0,72.47,1.0223048327137545
2019-06-03,2743.8,4.0,2.71,2810.0,76.97,1.0241271229681463
2019-06-03,2743.8,4.0,2.14,2815.0,82.85,1.025949413222538
2019-06-03,2743.8,4.0,1.67,2820.0,84.35,1.0277717034769298
2019-06-03,2743.8,4.0,0.9,2825.0,82.3,1.0295939937313214
2019-06-03,2743.8,4.0,0.75,2830.0,85.0,1.0314162839857133
2019-06-03,2743.8,4.0,0.66,2835.0,98.55,1.033238574240105
2019-06-03,2743.8,4.0,0.45,2840.0,103.45,1.0350608644944965
2019-06-03,2743.8,4.0,0.36,2845.0,98.85,1.0368831547488884
2019-06-03,2743.8,4.0,0.2,2850.0,116.05,1.03870544500328
2019-06-03,2743.8,4.0,0.15,2855.0,114.92,1.0405277352576718
2019-06-03,2743.8,4.0,0.13,2860.0,122.15,1.0423500255120635
2019-06-03,2743.8,4.0,0.12,2865.0,127.41,1.0441723157664553
2019-06-03,2743.8,4.0,0.1,2870.0,126.1,1.045994606020847
2019-06-03,2743.8,4.0,0.1,2875.0,132.3,1.0478168962752386
2019-06-03,2743.8,4.0,0.1,2880.0,133.65,1.0496391865296304
2019-06-03,2743.8,4.0,0.05,2885.0,142.3,1.051461476784022
2019-06-03,2743.8,4.0,0.05,2890.0,0.0,1.0532837670384139
2019-06-03,2743.8,4.0,0.1,2895.0,157.33,1.0551060572928055
2019-06-03,2743.8,4.0,0.05,2900.0,156.0,1.0569283475471973
2019-06-03,2743.8,4.0,0.05,2905.0,149.95,1.058750637801589
2019-06-03,2743.8,4.0,0.05,2910.0,153.53,1.0605729280559806
2019-06-03,2743.8,4.0,0.05,2915.0,158.62,1.0623952183103724
2019-06-03,2743.8,4.0,0.05,2920.0,166.78,1.064217508564764
2019-06-03,2743.8,4.0,0.05,2925.0,148.38,1.066039798819156
2019-06-03,2743.8,4.0,0.05,2930.0,172.03,1.0678620890735475
2019-06-03,2743.8,4.0,0.05,2935.0,0.0,1.0696843793279394
2019-06-03,2743.8,4.0,0.05,2940.0,185.41,1.071506669582331
2019-06-03,2743.8,4.0,0.05,2945.0,0.0,1.0733289598367228
2019-06-03,2743.8,4.0,0.05,2950.0,189.14,1.0751512500911145
2019-06-03,2743.8,4.0,0.05,2960.0,0.0,1.078795830599898
2019-06-03,2743.8,4.0,0.05,2965.0,0.0,1.0806181208542895
