Date,maturity,moneyness_level,underlying_price,strike,call_price,put_price
2021-08-06,55.421380090497735,0.8685923615682658,4436.2,3853.2494343891403,239.52317307692306,54.19294117647058
2021-08-10,52.598255813953486,0.8665594937885837,4437.01,3844.9331395348836,252.48615697674418,54.06023255813954
2021-08-11,51.728677733257015,0.8662848897130856,4447.86,3853.1139095592443,253.8607040641099,51.80623354321695
2021-08-12,53.40861538461539,0.8612761900688654,4460.44,3841.670769230769,264.26038153846156,50.543679999999995
2021-08-13,51.34380257992148,0.866799994880939,4468.36,3873.1744251261916,245.4545485137409,47.346887268648345
2021-08-16,49.07825086306099,0.8635997738323968,4479.89,3868.8319907940163,253.30917146144995,48.63401035673188
2021-08-17,48.09526525955505,0.8706844688224092,4448.52,3873.2572732458643,257.03464917284657,51.13420992584142
2021-08-18,46.992696629213484,0.8806875611813338,4400.37,3875.3511235955057,255.96730898876405,52.694162921348315
2021-08-19,51.39178283198826,0.8907720439743296,4405.87,3924.6258253851797,216.35504035216434,58.344680851063835
2021-08-20,49.610613370089595,0.8874848752761727,4441.31,3941.595451412819,208.5721640248105,53.70809097174363
2021-08-23,53.92312241277351,0.8784129573657258,4479.69,3935.0177409816674,216.73769367238322,55.609556475458305
2021-08-24,52.97949619214997,0.8783115480811549,4486.37,3940.4305799648505,219.11833626244874,53.70024604569421
2021-08-25,51.930313588850176,0.8767100854722686,4496.24,3941.8989547038327,219.9546631823461,52.40868176538908
2021-08-26,53.409795412275265,0.8817724489294102,4469.76,3941.3112213267204,226.136955982641,57.774122752634845
2021-08-27,51.06506849315068,0.8798568586675078,4509.36,3967.5913242009133,212.51519406392694,55.17208333333333
2021-08-30,48.670169293636896,0.8758417189007314,4528.75,3966.468184471687,220.8478108581436,53.868423817863395
2021-09-01,58.50550122249389,0.8829262875989278,4524.37,3994.685207823961,177.2813141809291,58.22194987775061
2021-09-02,61.18783068783069,0.8796185513103436,4537.2,3991.005291005291,181.9190939153439,61.459722222222226
2021-09-03,58.34507897934387,0.885044320346888,4535.71,4014.3043742405835,171.64685297691372,57.86229040097206
2021-09-08,53.91546762589928,0.888897582882868,4514.45,4012.8836930455636,180.65217026378897,59.271768585131895
2021-09-10,54.46727272727273,0.900018287957655,4458.97,4013.1545454545453,187.74935757575759,65.20749090909091
2021-09-13,52.29577464788732,0.8984849010460112,4469.07,4015.3919167176973,187.21112063686468,67.74363135333742
2021-09-14,51.17096580683863,0.9042881797657945,4443.91,4018.5752849430114,185.04876424715056,69.13913617276545
2021-09-16,55.67056245434624,0.9055156140283981,4474.05,4051.3221329437547,156.60874360847333,64.36227173119065
2021-09-17,53.627793296089386,0.9150267757637013,4433.27,4056.560754189944,150.57599860335193,69.54011871508379
2021-09-20,58.933673469387756,0.9129553613749338,4358.45,3979.0702947845807,236.75565192743764,95.76142290249433
2021-09-21,57.87373737373738,0.9138700876901507,4353.41,3978.4511784511783,235.97519079685745,90.9358529741863
2021-09-22,56.79148230088496,0.9048171266262937,4395.65,3977.2594026548672,235.92582411504426,85.9102267699115
2021-09-23,59.55159927579964,0.8927414652501945,4448.22,3971.11044055522,257.5300724200362,80.50101991550996
2021-09-24,57.452421652421656,0.8947115054512969,4455.58,3986.4586894586896,246.12963532763533,75.44803418803419
2021-09-27,55.42102206736353,0.8942248328425809,4443.59,3973.568524970964,251.23351916376308,74.77049941927991
2021-09-28,53.93840985442329,0.9144700112256808,4353.31,3980.971444568869,244.82799552071668,85.11904815229563
2021-09-29,52.96310788149805,0.9123638096382495,4359.59,3977.532140860816,246.61742314141978,85.37045276690888
2021-09-30,57.43741677762983,0.9230447344411973,4306.53,3975.1198402130494,236.99011318242344,91.90896138482024
2021-10-01,55.24524831391784,0.9141180273477857,4354.44,3980.472103004292,222.61977927651748,87.19252605763336
2021-10-04,59.65842583249243,0.9240396802021764,4301.19,3974.470232088799,229.95430877901111,104.83505045408678
2021-10-05,58.34810438207779,0.9150218016763366,4345.2,3975.952732644018,229.6749187592319,97.78786312161496
2021-10-06,57.18734793187348,0.9109958316968131,4363.6,3975.221411192214,229.95057420924573,99.28753771289539
2021-10-07,59.44549763033175,0.9021345184213853,4399.53,3968.967877830437,247.81210637177463,94.80313849394419
2021-10-08,57.287530562347186,0.9069842430286004,4391.8,3983.2933985330073,231.99218092909535,90.43223471882641
2021-10-11,54.947524752475246,0.9128805960914843,4360.75,3980.8440594059407,237.5563910891089,92.47655445544555
2021-10-12,53.92190569744597,0.9150892838433754,4350.4,3981.00442043222,236.43688605108056,93.51445972495088
2021-10-13,52.84192607003891,0.9115539379877157,4364.85,3978.796206225681,236.299406614786,92.90720330739299
2021-10-14,54.59385113268608,0.894148587031579,4438.12,3968.338727076591,266.3286353829558,91.22873786407766
2021-10-15,52.788004136504654,0.8906881945985938,4471.61,3982.8102378490175,263.7332368148914,85.79312306101345
2021-10-18,50.50878126663119,0.8862142749209628,4486.26,3975.7876530069184,273.8567323044172,83.86412985630655
2021-10-19,49.44526705446854,0.8803851665975992,4520.219999999999,3979.5346377578003,280.4225066102591,78.18460602855632
2021-10-20,48.43736842105263,0.877827693702543,4537.22,3982.8973684210528,284.2533,75.55561052631579
2021-10-21,51.78799249530957,0.8765144091162316,4549.51,3987.7110694183866,284.63986241400875,64.69542213883678
2021-10-22,49.85959885386819,0.8837208437299865,4544.95,4016.467048710602,268.48468194842405,58.890997134670485
2021-10-25,54.551392891450526,0.8803373079416312,4567.73,4021.1431316042267,285.2221325648415,66.72789145052833
2021-10-26,53.44969296173831,0.8808766286724871,4574.13,4029.2442135096835,286.93981577704295,63.36312234293813
2021-10-27,52.345667447306795,0.8855345255437918,4551.68,4030.6697892271663,287.03399531615923,63.346416861826704
2021-10-28,54.361680327868854,0.8757891113864241,4596.06,4025.1793032786886,303.16954918032786,65.91435963114755
2021-10-29,52.87565507384469,0.8770519005873021,4605.45,4039.2186755597904,286.0512577417818,62.651019533111004
2021-11-01,54.94585050029429,0.8735602319101817,4613.44,4030.117716303708,304.5788699234844,64.74489111241907
2021-11-02,59.43047996041564,0.8731897204358287,4631.05,4043.7852548243445,282.6381939633845,73.53477486392875
2021-11-03,58.3038593063019,0.8687173221998206,4660.64,4048.7787005373716,282.30859794821686,69.95448461162677
2021-11-04,61.249584947426676,0.86118207555051,4680.71,4030.9435528500276,316.352241283896,74.5094964028777
2021-11-05,58.862337662337666,0.8655299090370496,4697.16,4065.5324675324673,305.67452987012985,69.30711168831169
2021-11-08,56.580917237743805,0.8642413980879008,4701.65,4063.360569319979,313.96587770163416,69.60063784923564
2021-11-09,55.6257187663356,0.8692664253696634,4685.29,4072.76529012023,311.3619707266074,70.14269210663879
2021-11-10,54.376288659793815,0.8780240085382307,4646.56,4079.791237113402,306.08903092783504,71.94835051546391
2021-11-11,56.44107744107744,0.8731942876526891,4649.2,4059.654882154882,326.40179573512904,74.5614534231201
2021-11-12,54.347758081334725,0.8732924723335432,4682.87,4089.51511991658,310.83006256517206,69.58782586027112
2021-11-15,52.076597992604334,0.8716758125862895,4683.33,4082.3454833597466,317.20509772847333,68.60557844690966
2021-11-16,51.099947943779284,0.8694238881763381,4700.25,4086.509630400833,319.94489328474754,66.3194273815721
2021-11-17,50.08010335917313,0.8715739261699788,4689.12,4086.9147286821703,323.09207751937987,66.71533850129198
2021-11-18,54.961512939615126,0.8834191955475055,4704.86,4156.363636363636,249.67722627737228,73.35364299933643
2021-11-19,52.939261114589854,0.8886765503260297,4698.11,4175.100187852223,241.48983093299938,75.34417031934878
2021-11-22,57.86459430979979,0.8873107933733676,4682.54,4154.868282402529,254.34116965226553,78.03217597471023
