Date,ivol
15/06/2006,13.5399
16/06/2006,14.4468
19/06/2006,15.3343
20/06/2006,14.8761
21/06/2006,13.5031
22/06/2006,14.0226
23/06/2006,14.0365
26/06/2006,13.7365
27/06/2006,14.5835
28/06/2006,14.3237
29/06/2006,11.8499
30/06/2006,12.4995
03/07/2006,12.1267
05/07/2006,13.099
06/07/2006,12.9082
07/07/2006,13.3936
10/07/2006,13.4404
11/07/2006,12.7617
12/07/2006,13.9099
13/07/2006,15.8532
14/07/2006,16.021
17/07/2006,16.2218
18/07/2006,15.5411
19/07/2006,13.6055
20/07/2006,14.3759
21/07/2006,15.0585
24/07/2006,13.3863
25/07/2006,13.0271
26/07/2006,13.1125
27/07/2006,13.6886
28/07/2006,13.1526
31/07/2006,13.5906
01/08/2006,13.7477
02/08/2006,13.2615
03/08/2006,13.4123
04/08/2006,13.3227
07/08/2006,13.9163
08/08/2006,14.0312
09/08/2006,14.2591
10/08/2006,13.5811
11/08/2006,13.6214
14/08/2006,13.6738
15/08/2006,12.752
16/08/2006,12.1231
17/08/2006,11.6306
18/08/2006,11.1587
21/08/2006,11.5613
22/08/2006,11.512
23/08/2006,11.7537
24/08/2006,11.6161
25/08/2006,11.5796
28/08/2006,11.4072
29/08/2006,11.2912
30/08/2006,11.2736
31/08/2006,11.4559
01/09/2006,11.1488
05/09/2006,11.5173
06/09/2006,12.4941
07/09/2006,12.7674
08/09/2006,12.1117
11/09/2006,12.2349
12/09/2006,11.4575
13/09/2006,11.1838
14/09/2006,11.4311
15/09/2006,11.2255
18/09/2006,11.4167
19/09/2006,11.7495
20/09/2006,11.1803
21/09/2006,11.8491
22/09/2006,12.0993
25/09/2006,11.5955
26/09/2006,11.0332
27/09/2006,11.2812
28/09/2006,11.2907
29/09/2006,11.5821
02/10/2006,11.8962
03/10/2006,11.8321
04/10/2006,11.39
05/10/2006,11.5186
06/10/2006,11.2052
09/10/2006,11.348
10/10/2006,11.1968
11/10/2006,11.4014
12/10/2006,10.8501
13/10/2006,10.5531
16/10/2006,10.769
17/10/2006,11.2672
18/10/2006,11.1215
19/10/2006,10.8508
20/10/2006,10.4758
23/10/2006,10.5223
24/10/2006,10.333
25/10/2006,10.1885
26/10/2006,9.8511
27/10/2006,10.3581
30/10/2006,10.4218
31/10/2006,10.3336
01/11/2006,10.7891
02/11/2006,10.7583
03/11/2006,10.636
06/11/2006,10.2808
07/11/2006,10.3616
08/11/2006,10.064
09/11/2006,10.311
10/11/2006,10.1583
13/11/2006,10.1878
14/11/2006,9.9769
15/11/2006,9.6827
16/11/2006,9.6355
17/11/2006,9.4547
20/11/2006,9.5393
21/11/2006,9.7132
22/11/2006,9.9498
24/11/2006,10.5206
27/11/2006,11.655
28/11/2006,11.023
29/11/2006,10.2506
30/11/2006,10.3719
01/12/2006,10.8247
04/12/2006,10.4845
05/12/2006,10.4841
06/12/2006,10.7578
07/12/2006,11.6576
08/12/2006,11.3692
11/12/2006,11.3149
12/12/2006,11.1652
13/12/2006,10.8709
14/12/2006,10.3098
15/12/2006,10.6164
18/12/2006,10.7859
19/12/2006,10.6397
20/12/2006,10.614
21/12/2006,10.8429
22/12/2006,11.2004
26/12/2006,11.1199
